type_name,time_seconds,team_id,player_id,outcome,timestamp,minute,second,qualifier,period_id,team,game_id,start_x,start_y,position,related_x,related_y,related_id
OtherBallAction,1227.161,DFL-CLU-00000Q,DFL-OBJ-0001IG,,2022-09-10 21:54:12.971000+02:00,20.0,27.0,"{'Team': 'DFL-CLU-00000Q', 'BallPossessionPhase': '1051', 'Player': 'DFL-OBJ-0001IG'}",2,Away,DFL-MAT-J03WOY,40.97999360000001,60.159996799999995,DRM,,,
Delete,1227.809,,,,2022-09-10 21:54:13.619000+02:00,20.0,27.0,{},2,Home,DFL-MAT-J03WOY,,,,,,
Delete,1227.809,,,,2022-09-10 21:54:13.619000+02:00,20.0,27.0,{},2,Away,DFL-MAT-J03WOY,,,,,,
Play_Pass,1229.76,DFL-CLU-00000P,DFL-OBJ-J01KJ5,,2022-09-10 21:54:15.570000+02:00,20.0,29.0,"{'PlayAngle': '29.00', 'PenaltyBox': 'false', 'Team': 'DFL-CLU-00000P', 'PlayOrigin': 'ownHalf', 'BallPossessionPhase': '1053', 'Height': 'flat', 'Player': 'DFL-OBJ-J01KJ5', 'SemiField': 'false', 'Evaluation': 'successfullyCompleted', 'FromOpenPlay': 'true', 'Recipient': 'DFL-OBJ-002G5J', 'Distance': 'medium', 'FlatCross': 'false', 'FreeKickLayup': 'false'}",2,Home,DFL-MAT-J03WOY,29.94,52.739999999999995,LV,45.25,50.22,DFL-OBJ-002G5J
Play_Pass,1232.784,DFL-CLU-00000P,DFL-OBJ-002G5J,,2022-09-10 21:54:18.594000+02:00,20.0,32.0,"{'PlayAngle': '309.20', 'PenaltyBox': 'false', 'Team': 'DFL-CLU-00000P', 'PlayOrigin': 'ownHalf', 'BallPossessionPhase': '1054', 'Height': 'flat', 'Player': 'DFL-OBJ-002G5J', 'SemiField': 'false', 'Evaluation': 'successfullyCompleted', 'FromOpenPlay': 'true', 'Recipient': 'DFL-OBJ-002GM1', 'Distance': 'medium', 'FlatCross': 'false', 'FreeKickLayup': 'false'}",2,Home,DFL-MAT-J03WOY,47.68,42.0099552,ZO,48.5798656,57.300031999999995,DFL-OBJ-002GM1
Play_Pass,1237.808,DFL-CLU-00000P,DFL-OBJ-002GM1,,2022-09-10 21:54:23.618000+02:00,20.0,37.0,"{'PlayAngle': '8.66', 'PenaltyBox': 'true', 'Team': 'DFL-CLU-00000P', 'PlayOrigin': 'oppositionHalf', 'BallPossessionPhase': '1055', 'Height': 'flat', 'Player': 'DFL-OBJ-002GM1', 'SemiField': 'false', 'Evaluation': 'unsuccessful', 'FromOpenPlay': 'true', 'Recipient': 'DFL-OBJ-0028KZ', 'Distance': 'medium', 'FlatCross': 'false', 'FreeKickLayup': 'false', 'Direction': 'throughBall'}",2,Home,DFL-MAT-J03WOY,73.0500672,56.119952000000005,OLM,81.37003200000001,48.8999968,DFL-OBJ-0028KZ
OtherBallAction,1239.136,DFL-CLU-00000Q,DFL-OBJ-0028KZ,,2022-09-10 21:54:24.946000+02:00,20.0,39.0,"{'Team': 'DFL-CLU-00000Q', 'BallPossessionPhase': '1056', 'Player': 'DFL-OBJ-0028KZ'}",2,Away,DFL-MAT-J03WOY,82.91001279999999,48.900044799999996,IVR,,,
TacklingGame,1242.322,DFL-CLU-00000P,DFL-OBJ-002FXT,0.0,2022-09-10 21:54:28.132000+02:00,20.0,42.0,"{'GoalKeeperInvolved': 'false', 'WinnerAction': 'shot', 'WinnerTeam': 'DFL-CLU-00000P', 'LoserRole': 'withoutBallControl', 'Winner': 'DFL-OBJ-002FXT', 'WinnerResult': 'layoff', 'WinnerRole': 'withBallControl', 'Loser': 'DFL-OBJ-0001IG', 'LoserTeam': 'DFL-CLU-00000Q', 'PossessionChange': 'false', 'Type': 'ground'}",2,Home,DFL-MAT-J03WOY,86.829992,56.2099984,STZ,89.359992,54.720001599999996,DFL-OBJ-0001IG
ShotAtGoal_ShotWide,1243.122,DFL-CLU-00000P,DFL-OBJ-002FXT,0.0,2022-09-10 21:54:28.932000+02:00,20.0,43.0,"{'PlayerSpeed': '12.42', 'AfterFreeKick': 'false', 'TakerSetup': 'oppositionDefensiveAction', 'AssistAction': 'otherPassFromOpenPlay', 'BallPossessionPhase': '1057', 'AssistShotAtGoal': 'DFL-OBJ-002GM1', 'CounterAttack': 'false', 'GoalDistanceGoalkeeper': '1.88', 'SignificanceEvaluation': 'none', 'TypeOfShot': 'rightLeg', 'AssistTypeShotAtGoal': 'indirect', 'Pressure': '0.77', 'ShotOrigin': '7', 'Team': 'DFL-CLU-00000P', 'InsideBox': 'false', 'ChanceEvaluation': 'chance', 'AngleToGoal': '12.12', 'AmountOfDefenders': '2', 'ShotCondition': 'notComplicated', 'TakerBallControl': 'dribblingLess10m', 'SetupOrigin': 'left', 'Player': 'DFL-OBJ-002FXT', 'xG': '0.0198', 'BuildUp': 'passOpenPlay', 'DistanceToGoal': '26.61', 'PitchMarking': 'over', 'Placing': 'far'}",2,Home,DFL-MAT-J03WOY,85.2599944,54.0399856,STZ,,,
GoalKick_Play_Pass,1266.045,DFL-CLU-00000Q,DFL-OBJ-002FZB,,2022-09-10 21:54:51.855000+02:00,21.0,6.0,"{'Team': 'DFL-CLU-00000Q', 'DecisionTimestamp': '2022-09-10T21:54:31.587+02:00', 'PlayAngle': '356.21', 'PenaltyBox': 'false', 'PlayOrigin': 'ownHalf', 'BallPossessionPhase': '1059', 'Height': 'high', 'Player': 'DFL-OBJ-002FZB', 'SemiField': 'false', 'Evaluation': 'successfullyCompleted', 'FromOpenPlay': 'false', 'Recipient': 'DFL-OBJ-0025BB', 'Distance': 'long', 'FlatCross': 'false', 'FreeKickLayup': 'false', 'Direction': 'throughBall'}",2,Away,DFL-MAT-J03WOY,103.18998599999999,27.220008,TW,56.509989999999995,25.999994,DFL-OBJ-0025BB
TacklingGame,1269.137,DFL-CLU-00000Q,DFL-OBJ-0025BB,0.0,2022-09-10 21:54:54.947000+02:00,21.0,9.0,"{'GoalKeeperInvolved': 'false', 'WinnerTeam': 'DFL-CLU-00000Q', 'LoserRole': 'withoutBallControl', 'Winner': 'DFL-OBJ-0025BB', 'WinnerResult': 'layoff', 'WinnerRole': 'withBallControl', 'Loser': 'DFL-OBJ-J01H9X', 'LoserTeam': 'DFL-CLU-00000P', 'PossessionChange': 'false', 'Type': 'air'}",2,Away,DFL-MAT-J03WOY,52.9999524,25.420034,IVZ,47.590047600000005,29.6899592,DFL-OBJ-J01H9X
