type_name,time_seconds,team_id,player_id,outcome,timestamp,minute,second,qualifier,period_id,team,game_id,start_x,start_y,position,related_x,related_y,related_id
OtherBallAction,2500.949,DFL-CLU-00000G,DFL-OBJ-J017RE,,2023-05-27 16:11:53.179000+02:00,41.0,40.0,"{'Player': 'DFL-OBJ-J017RE', 'Team': 'DFL-CLU-00000G', 'DefensiveClearance': 'true', 'BallPossessionPhase': '803'}",1,Away,DFL-MAT-J03WMX,14.940043999999997,48.1400396,IVL,,,
TacklingGame,2505.753,DFL-CLU-00000G,DFL-OBJ-0027G6,1.0,2023-05-27 16:11:57.983000+02:00,41.0,45.0,"{'WinnerTeam': 'DFL-CLU-000008', 'Winner': 'DFL-OBJ-J01D1W', 'WinnerRole': 'withoutBallControl', 'PossessionChange': 'false', 'GoalKeeperInvolved': 'false', 'Loser': 'DFL-OBJ-0027G6', 'LoserRole': 'withBallControl', 'WinnerResult': 'ballcontactSucceeded', 'LoserTeam': 'DFL-CLU-00000G', 'Type': 'air'}",1,Away,DFL-MAT-J03WMX,51.709944,28.7100224,STZ,54.1599832,30.000047600000002,DFL-OBJ-J01D1W
OtherBallAction,2507.088,DFL-CLU-000008,DFL-OBJ-J01D1W,,2023-05-27 16:11:59.318000+02:00,41.0,47.0,"{'Player': 'DFL-OBJ-J01D1W', 'Team': 'DFL-CLU-000008', 'BallPossessionPhase': '805'}",1,Home,DFL-MAT-J03WMX,56.0400256,25.479964799999998,IVL,,,
TacklingGame,2509.478,DFL-CLU-00000G,DFL-OBJ-0002AU,0.0,2023-05-27 16:12:01.708000+02:00,41.0,49.0,"{'WinnerTeam': 'DFL-CLU-00000G', 'Winner': 'DFL-OBJ-0002AU', 'DribbleEvaluation': 'successful', 'WinnerRole': 'withBallControl', 'PossessionChange': 'false', 'GoalKeeperInvolved': 'false', 'Loser': 'DFL-OBJ-00012X', 'LoserRole': 'withoutBallControl', 'DribblingSide': 'right', 'WinnerResult': 'dribbledAround', 'LoserTeam': 'DFL-CLU-000008', 'BallPossessionPhase': '806', 'DribblingType': 'overrun', 'Type': 'ground'}",1,Away,DFL-MAT-J03WMX,56.3799792,18.3399992,ORM,54.0399848,19.010000799999997,DFL-OBJ-00012X
Play_Pass,2511.623,DFL-CLU-00000G,DFL-OBJ-0002AU,,2023-05-27 16:12:03.853000+02:00,41.0,51.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-0002AU', 'Team': 'DFL-CLU-00000G', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'flat', 'Distance': 'short', 'PlayOrigin': 'oppositionHalf', 'PlayAngle': '254.90', 'Recipient': 'DFL-OBJ-0000IA', 'BallPossessionPhase': '806', 'Evaluation': 'successfullyCompleted', 'FreeKickLayup': 'false'}",1,Away,DFL-MAT-J03WMX,68.689864,24.489870800000002,ORM,65.1899116,33.459979600000004,DFL-OBJ-0000IA
Play_Pass,2516.885,DFL-CLU-00000G,DFL-OBJ-0000IA,,2023-05-27 16:12:09.115000+02:00,41.0,56.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-0000IA', 'Team': 'DFL-CLU-00000G', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'high', 'Distance': 'medium', 'PlayOrigin': 'oppositionHalf', 'PlayAngle': '319.89', 'Recipient': 'DFL-OBJ-0002BO', 'BallPossessionPhase': '808', 'Evaluation': 'unsuccessful', 'FreeKickLayup': 'false'}",1,Away,DFL-MAT-J03WMX,77.58998,45.67005,ZO,85.4,48.410033999999996,DFL-OBJ-0002BO
OtherBallAction,2517.465,DFL-CLU-000008,DFL-OBJ-0002BO,,2023-05-27 16:12:09.695000+02:00,41.0,57.0,"{'Player': 'DFL-OBJ-0002BO', 'Team': 'DFL-CLU-000008', 'BallPossessionPhase': '809'}",1,Home,DFL-MAT-J03WMX,85.120024,50.829904,RV,,,
OtherBallAction,2519.008,DFL-CLU-000008,DFL-OBJ-J01BGM,,2023-05-27 16:12:11.238000+02:00,41.0,59.0,"{'Player': 'DFL-OBJ-J01BGM', 'Team': 'DFL-CLU-000008', 'BallPossessionPhase': '810'}",1,Home,DFL-MAT-J03WMX,70.39998720000001,61.910064,ORM,,,
TacklingGame,2520.724,DFL-CLU-000008,DFL-OBJ-J01BGM,1.0,2023-05-27 16:12:12.954000+02:00,42.0,0.0,"{'WinnerTeam': 'DFL-CLU-00000G', 'Winner': 'DFL-OBJ-0000IA', 'WinnerRole': 'withoutBallControl', 'PossessionChange': 'true', 'GoalKeeperInvolved': 'false', 'Loser': 'DFL-OBJ-J01BGM', 'LoserRole': 'withBallControl', 'WinnerResult': 'ballClaimed', 'LoserTeam': 'DFL-CLU-000008', 'Type': 'ground'}",1,Home,DFL-MAT-J03WMX,71.7099984,66.62998879999999,ORM,71.03,66.3899952,DFL-OBJ-0000IA
BallClaiming,2521.363,DFL-CLU-00000G,DFL-OBJ-0000IA,1.0,2023-05-27 16:12:13.593000+02:00,42.0,1.0,"{'Player': 'DFL-OBJ-0000IA', 'Team': 'DFL-CLU-00000G', 'BallPossessionPhase': '811', 'Type': 'BallClaimed'}",1,Away,DFL-MAT-J03WMX,71.1400012,65.6899952,ZO,,,
